# Chessmaster (GBA) — traducción de la interfaz. OFFSET|original|traducción (mismo sitio; ver traducir_rom.py).
# Sin acentos ni Ñ. Los comentarios de partidas clásicas, los de aperturas y el tutorial siguen en inglés.
# --- Menú principal
1FEA4B|Standard Game|Juego Normal
1FEA5C|STANDARD GAME|JUEGO NORMAL
1FEB97|Handicap Game|Con Handicap
1FEBA8|HANDICAP GAME|CON HANDICAP
1FECE3|Board Setup Game|Armar Tablero
1FECF7|BOARD SETUP GAME|ARMAR TABLERO
1FEE33|Load Game|Cargar
1FEE40|LOAD GAME|CARGAR
1FEF77|Link Multiplayer|Multijugador
1FEF8B|LINK MULTIPLAYER|MULTIJUGADOR
1FF0C7|Chess Tutor|Tutorial
1FF0D6|CHESS TUTOR|TUTORIAL
# --- Opciones de partida
20420F|OPPONENT|RIVAL
204343|Response Time|Tiempo
204354|RESPONSE TIME|TIEMPO
20448F|Who Plays|Jugadores
20449C|WHO PLAYS|JUGADORES
2045D3|Teaching Mode|Modo Tutor
2045E4|TEACHING MODE|MODO TUTOR
20471F|Chess Set Look|Estilo Piezas
204731|CHESS SET LOOK|ESTILO PIEZAS
20486B|Save Settings|Guardar
20487C|SAVE SETTINGS|GUARDAR
# --- Rivales de nombre (los descriptivos)
22AE2B|More|Mas
22AE33|MORE|MAS
# --- Niveles
2345C3|  Beginner| Iniciado
2345D1| Newcomer|  Nuevo
2345DE|    Novice|    Novato
2345EC| Apprentice|  Aprendiz
2345FB|   Aspirant|  Aspirante
26DEFB|  Defender|  Defensor
26DF13|   Master|  Maestro
26DF20| Positional| Posicional
26DF48| Challenger| Retador
# --- Tiempo por jugada / partida
234DFF|Seconds per Move   05|Segundos x Jugada  05
234E18|SECONDS PER MOVE   05|SEGUNDOS X JUGADA  05
234E31|Seconds per Move   10|Segundos x Jugada  10
234E4A|SECONDS PER MOVE   10|SEGUNDOS X JUGADA  10
234E63|Seconds per Move   15|Segundos x Jugada  15
234E7C|SECONDS PER MOVE   15|SEGUNDOS X JUGADA  15
234E95|Seconds per Move   20|Segundos x Jugada  20
234EAE|SECONDS PER MOVE   20|SEGUNDOS X JUGADA  20
234EC7|Seconds per Move   25|Segundos x Jugada  25
234EE0|SECONDS PER MOVE   25|SEGUNDOS X JUGADA  25
234EF9|Seconds per Move   30|Segundos x Jugada  30
234F12|SECONDS PER MOVE   30|SEGUNDOS X JUGADA  30
234F2B|Seconds per Move   35|Segundos x Jugada  35
234F44|SECONDS PER MOVE   35|SEGUNDOS X JUGADA  35
234F5D|Seconds per Move   40|Segundos x Jugada  40
234F76|SECONDS PER MOVE   40|SEGUNDOS X JUGADA  40
234F8F|Seconds per Move   45|Segundos x Jugada  45
234FA8|SECONDS PER MOVE   45|SEGUNDOS X JUGADA  45
234FC1|Seconds per Move   50|Segundos x Jugada  50
234FDA|SECONDS PER MOVE   50|SEGUNDOS X JUGADA  50
235053|Minutes per Game   05|Min. por Partida   05
23506C|MINUTES PER GAME   05|MIN. POR PARTIDA   05
235085|Minutes per Game   10|Min. por Partida   10
23509E|MINUTES PER GAME   10|MIN. POR PARTIDA   10
2350B7|Minutes per Game   15|Min. por Partida   15
2350D0|MINUTES PER GAME   15|MIN. POR PARTIDA   15
2350E9|Minutes per Game   20|Min. por Partida   20
235102|MINUTES PER GAME   20|MIN. POR PARTIDA   20
23511B|Minutes per Game   30|Min. por Partida   30
235134|MINUTES PER GAME   30|MIN. POR PARTIDA   30
23514D|Minutes per Game   40|Min. por Partida   40
235166|MINUTES PER GAME   40|MIN. POR PARTIDA   40
23517F|Minutes per Game   50|Min. por Partida   50
235198|MINUTES PER GAME   50|MIN. POR PARTIDA   50
2351B1|Minutes per Game   60|Min. por Partida   60
2351CA|MINUTES PER GAME   60|MIN. POR PARTIDA   60
2351E3|Minutes per Game   90|Min. por Partida   90
2351FC|MINUTES PER GAME   90|MIN. POR PARTIDA   90
235215|Minutes per Game 120|Min. por Partida 120
23522D|MINUTES PER GAME 120|MIN. POR PARTIDA 120
23527F|Infinite Time|Sin Limite
235290|INFINITE TIME|SIN LIMITE
2359B7|Player vs. Player|Humano vs Humano
2359CC|PLAYER VS. PLAYER|HUMANO VS HUMANO
2360CF|Legal Moves OFF|Mov.Legales NO
2360E2|LEGAL MOVES OFF|MOV.LEGALES NO
2360F5|Legal Moves ON|Mov.Legales SI
236107|LEGAL MOVES ON|MOV.LEGALES SI
23613B|Threatened Pieces OFF|Piezas Amenazadas NO
236154|THREATENED PIECES OFF|PIEZAS AMENAZADAS NO
23616D|Threatened Pieces ON|Piezas Amenazadas SI
236185|THREATENED PIECES ON|PIEZAS AMENAZADAS SI
# --- Estilos de piezas
23FCDF|Classic Set|Clasico
23FCEE|CLASSIC SET|CLASICO
23FE27|Newspaper Set|Periodico
23FE38|NEWSPAPER SET|PERIODICO
23FF73|Wood Set|Madera
