# Traducción al español de Bassin's Black Bass (SNES). Una línea por mensaje: índice|texto.
# " / " = salto de línea, " ¶ " = fin de página (FC 01). Los códigos <..> se copian tal cual.
# Sin acentos ni Ñ: la fuente del juego no los tiene (por eso "vara" y no "caña", "cebo" y no "señuelo").
0|SEDAL ENREDADO / EN EL CARRETE. ¶
1|OH NO! EL PEZ / ROMPIO EL / SEDAL! ¶ EL PEZ SE / LLEVO TU / CEBO! ¶
2|VAYA! ESE PEZ / ROMPIO LA / VARA! ¶ EL PEZ SE FUE / CON EL CEBO. ¶
3|OH NO! SE / ROMPIO EL / ANZUELO! ¶ ARREGLALO / YA MISMO! ¶
4|OH NO! SE / ROMPIO EL / ANZUELO! ¶ ARREGLALO / AHORA MISMO! ¶
5|TARDASTE <VAR 530900> / MINUTOS EN / ARREGLARLO. ¶
6|CAMBIAR LA VARA / TOMO <VAR 530900> / MINUTOS. ¶
7|TENGO UN / ANUNCIO. ¶ TODOS LOS / PESCADORES YA / DEBIAN VOLVER. ¶ EL EVENTO / TERMINO HACE / <03><01> MINUTOS. ¶
8|OJALA NADIE / TENGA / PENALIZACION. ¶
9|TENGO UN / ANUNCIO. ¶ EL EVENTO / TERMINO. EMPIEZA / LA PENALIZACION ¶ PARA LOS QUE / LLEGUEN TARDE. ¶
10|QUIERES SEGUIR / USANDO MIS / CONSEJOS? ¶ TU RESPUESTA:<FC28>
11|BIEN! / VAMOS! ¶
12|BIEN. TE / ESTARE / VIGILANDO! ¶
13| / NECESITAS / MI AYUDA? ¶ TU RESPUESTA:<FC28>
14|BIEN. DEJA / QUE TE AYUDE. ¶
15|BIEN. NO TE / MOLESTARE / MAS. ¶
16|JA! JA! ASI / NUNCA VAS A / PESCAR NADA. ¶ LAS PALETAS / VIBRAN Y / ATRAEN AL PEZ. ¶
17|RECOGE EL / SEDAL POCO / A POCO. ¶
18|VAMOS! DEJASTE / ESCAPAR ESE. ¶ LA HELICE / GIRA Y ATRAE / A LOS PECES. ¶
19|RECOGE SEDAL / POCO A POCO. ¶
20|LEVANTA UN / POCO LA VARA. ¶
21|DEJASTE / ESCAPAR / AL PEZ. ¶ ESTE CEBO / IMITA UN / CANGREJO. ¶
22|NO ESPANTES / A LOS PECES. ¶ MUEVE EL CEBO / COMO UN PEZ / DEBIL. ¶
23|MUEVE SUAVE / LA VARA A / IZQ. Y DER. ¶
24|RECOGE EL / CEBO POCO / A POCO. ¶
25|VAMOS! DALE / MEJOR ACCION / AL CEBO. ¶ MUEVELO COMO / UN PEZ QUE / SE ALIMENTA. ¶
26|RECOGE PARA / HUNDIR EL / CEBO. ¶
27|MUEVE LA VARA / CUANDO EL CEBO / FLOTE. ¶
28|JA! JA! ESE / SE TE ESCAPO. ¶ LAS ONDAS DE / SONIDO ATRAEN / AL PEZ. ¶
29|RECOGE LENTO / PARA HACER / SONIDO. ¶
30|ESE DEBIO / SER TUYO. ¶ MUEVE EL JIG / & PORK COMO / UN CANGREJO. ¶
31|LEVANTA LA / VARA DE VEZ / EN CUANDO. ¶
32|RECOGE SEDAL / POCO A POCO. ¶
33|ESE SE TE / ESCAPO. ¶ MENEA EL SEDAL / COMO UN / GUSANO. ¶
34|RECOGE SEDAL / POCO A POCO. ¶
35|LEVANTA LA / VARA LENTO. ¶
36|JA! JA! ESE / LANCE NO FUE / MUY BUENO. ¶ ESTE CEBO / IMITA UNA / RANA REAL. ¶
37|RECOGE Y HAZ / QUE EL CEBO / NADE. ¶
38|MUEVE LENTO / LA VARA A / IZQ. Y DER. ¶
39|DEJASTE / ESCAPAR ESE! ¶ ESTE CEBO / BRILLA Y / VIBRA. ¶
40|RECOGE EL / SEDAL LENTO. ¶
41|LEVANTA / LA VARA. ¶
42|NO TE MUEVAS / DEMASIADO! ¶
43|ROMPISTE EL / CEBO EN ESE / LANCE. ¶ REVISA LA ZONA / DE LANCE ¶ CON LA MARCA / ANTES DE / LANZAR. ¶
44|HAY DEMASIADO / SEDAL FLOJO. ¶ EL SEDAL DE MAS / SE ENREDA EN / ESTOS CARRETES. ¶
45|FRENA EL SEDAL / CON EL PULGAR ¶ JUSTO ANTES DE / QUE CAIGA / EL CEBO. ¶
46|OH NO! EL / PEZ SE / ESCAPO! ¶
47|CON CALMA! ¶
48|OH NO! ESO FUE / DEMASIADO / PARA LA VARA. ¶ NO PUEDES / HACER NADA / CON ESTE. ¶
49|EL PEZ / SE ESCAPO! ¶
50|ANZUELO FLOJO? / TIRA DE / LA VARA. ¶
51| / YA CASI ES / EL PESAJE. ¶
52| / ES HORA / DEL PESAJE! ¶
53|PERDISTE LA / OPORTUNIDAD / DE PESAR. ¶
54|ESTE LAGO ESTA / LLENO DE / VEGETACION. ¶ VE A LOS JUNCOS / O A LOS / NENUFARES. ¶
55|ESTE RIO ES / FAMOSO POR / SUS LOBINAS. ¶ VAMOS A LAS / ROCAS O A / LOS JUNCOS. ¶
56|DUDO QUE HAYA / PECES AQUI. ¶
57|DE VERDAD / QUIERES / LANZAR AQUI? ¶
58|DEBERIAS IR A / UNO DE LOS / MEJORES SITIOS. ¶
59|A LAS LOBINAS / LES GUSTA / ESTAR BAJO ¶ EL PUENTE. AHI / LES GUSTA / ALIMENTARSE. ¶ CUIDADO! NO / ENGANCHES / EL SEDAL! ¶
60|CASI NADIE / SE FIJA EN / ESTE SITIO. ¶
61|AQUI HAY UN / LECHO DE / ALGAS. ¶ LAS LOBINAS / COMEN EN / ESTE SITIO. ¶
62|SEGURO HAY / LOBINAS / AQUI. ¶
63|LOS NENUFARES / SON BUEN / SITIO. ¶ LAS LOBINAS SE / ESCONDEN Y / COMEN AQUI. ¶
64|BUEN SITIO / PARA LOBINAS / GRANDES. ¶
65|LOS ARBOLES DAN / SOMBRA AL AGUA. ¶ LAS LOBINAS VAN / AHI SI HACE / CALOR. ¶ OJO CON EL / SEDAL EN LOS / ARBOLES. ¶
66|EL MEJOR SITIO / EN DIAS / DE CALOR. ¶
67|LAS LOBINAS / COMEN EN / LOS JUNCOS. ¶ DEBEN ESTAR / ESCONDIDAS / AQUI. ¶ OJO CON LOS / OBSTACULOS / AL LANZAR. ¶
68|BIEN PENSADO / LANZAR AQUI. ¶
69|LA EROSION / TALLO ESTAS / ROCAS. ¶ DEBEN ESTAR / ESCONDIDAS / AQUI. ¶ OJO CON LOS / OBSTACULOS / AL LANZAR. ¶
70|ROCAS: HAY / MUCHAS / LOBINAS. ¶
71|SON PILOTES DE / UN PUENTE / VIEJO. ¶ A LAS LOBINAS / LES GUSTA / ESTAR AQUI. ¶ OJO CON LOS / PILOTES / AL LANZAR. ¶
72|ESTE SITIO ES / DEMASIADO / BUENO. ¶
73|LAS BOYAS / MARCAN / EL LIMITE. ¶
74|AQUI PUEDE / SER MUY / BUENO. ¶
